Name,depart_time,price,depart_time_hour,depart_time_minute
아시아나항공,06:05,40678,6,5
이스타항공,06:10,44577,6,10
제주항공,06:15,40848,6,15
이스타항공,06:15,41356,6,15
아시아나항공,06:25,40678,6,25
제주항공,06:25,43560,6,25
아시아나항공,06:40,33051,6,40
티웨이항공,06:40,41356,6,40
대한항공,06:40,96950,6,40
이스타항공,06:50,44577,6,50
에어부산,06:55,44238,6,55
아시아나항공,06:55,115424,6,55
티웨이항공,07:00,44577,7,0
제주항공,07:00,45085,7,0
에어부산,07:20,44238,7,20
대한항공,07:20,96950,7,20
아시아나항공,07:25,50170,7,25
제주항공,07:40,57797,7,40
대한항공,08:00,96950,8,0
이스타항공,08:10,62543,8,10
티웨이항공,08:15,62543,8,15
에어부산,08:50,76611,8,50
제주항공,09:00,74407,9,0
대한항공,09:00,96950,9,0
대한항공,09:20,96950,9,20
티웨이항공,09:45,65933,9,45
이스타항공,09:50,62543,9,50
아시아나항공,09:50,119492,9,50
아시아나항공,10:15,119492,10,15
티웨이항공,10:30,59492,10,30
대한항공,10:40,96950,10,40
아시아나항공,10:40,119492,10,40
이스타항공,10:55,57289,10,55
대한항공,11:05,96950,11,5
아시아나항공,11:15,78475,11,15
대한항공,11:20,96950,11,20
에어부산,11:25,47797,11,25
제주항공,11:35,60509,11,35
티웨이항공,11:45,52034,11,45
아시아나항공,11:50,50848,11,50
이스타항공,11:50,53051,11,50
제주항공,12:15,82543,12,15
아시아나항공,12:20,77458,12,20
대한항공,12:20,96950,12,20
제주항공,12:40,81695,12,40
티웨이항공,12:50,44577,12,50
이스타항공,12:55,44577,12,55
대한항공,13:10,96950,13,10
이스타항공,13:15,44577,13,15
티웨이항공,13:20,44577,13,20
대한항공,13:20,96950,13,20
티웨이항공,13:25,41356,13,25
제주항공,13:30,52034,13,30
대한항공,13:50,96950,13,50
아시아나항공,14:00,50170,14,0
티웨이항공,14:05,38136,14,5
아시아나항공,14:05,50170,14,5
아시아나항공,14:25,40678,14,25
이스타항공,14:35,38136,14,35
제주항공,14:40,45085,14,40
에어부산,14:55,36950,14,55
아시아나항공,14:55,40678,14,55
아시아나항공,14:55,115424,14,55
대한항공,15:00,96950,15,0
아시아나항공,15:05,40678,15,5
티웨이항공,15:15,38136,15,15
대한항공,15:20,96950,15,20
제주항공,15:25,39153,15,25
이스타항공,15:40,34916,15,40
제주항공,15:45,36611,15,45
아시아나항공,15:45,40678,15,45
이스타항공,15:55,34916,15,55
아시아나항공,15:55,50170,15,55
대한항공,16:00,96950,16,0
제주항공,16:05,49323,16,5
이스타항공,16:35,34916,16,35
대한항공,16:40,96950,16,40
대한항공,17:10,96950,17,10
티웨이항공,17:25,33899,17,25
티웨이항공,17:40,33899,17,40
대한항공,17:40,96950,17,40
아시아나항공,17:50,40678,17,50
티웨이항공,18:10,28306,18,10
에어부산,18:10,29662,18,10
이스타항공,18:10,29662,18,10
아시아나항공,18:10,115424,18,10
제주항공,18:15,36611,18,15
에어부산,18:20,26780,18,20
대한항공,18:20,96950,18,20
아시아나항공,18:20,119492,18,20
아시아나항공,18:25,38475,18,25
이스타항공,18:35,29662,18,35
아시아나항공,18:45,40678,18,45
티웨이항공,18:50,30678,18,50
대한항공,18:50,96950,18,50
아시아나항공,18:55,33051,18,55
제주항공,19:05,32543,19,5
대한항공,19:10,96950,19,10
아시아나항공,19:20,40678,19,20
이스타항공,19:25,29662,19,25
제주항공,19:35,31865,19,35
이스타항공,19:45,31865,19,45
대한항공,20:30,96950,20,30
제주항공,20:35,34916,20,35
아시아나항공,20:50,40678,20,50
아시아나항공,21:20,50170,21,20
